sol,name,udr_image_id,filter_used,comp_quality
318,McamRRecoveredProduct_0425717396-54720-1,15485,NULL,0
181,McamRImage_0413560754-00000-1,15486,5,-95
318,McamRRecoveredProduct_0425717400-12968-1,15486,NULL,0
181,McamRImage_0413560766-00000-1,15487,6,-95
318,McamRRecoveredProduct_0425717403-32461-1,15487,NULL,0
181,McamRImage_0413560789-00000-1,15488,0,-95
318,McamRRecoveredProduct_0425717406-59034-1,15488,NULL,0
181,McamRImage_0413560833-00000-1,15489,1,-85
318,McamRRecoveredProduct_0425717410-13700-1,15489,NULL,0
181,McamRImage_0413560845-00000-1,15490,2,-85
318,McamRRecoveredProduct_0425717413-26492-1,15490,NULL,0
181,McamRImage_0413560857-00000-1,15491,3,-85
318,McamRRecoveredProduct_0425717416-45585-1,15491,NULL,0
181,McamRImage_0413560868-00000-1,15492,4,-85
318,McamRRecoveredProduct_0425717420-03587-1,15492,NULL,0
181,McamRImage_0413560879-00000-1,15493,5,-95
318,McamRRecoveredProduct_0425717423-25871-1,15493,NULL,0
181,McamRImage_0413560890-00000-1,15494,6,-95
318,McamRRecoveredProduct_0425717426-45000-1,15494,NULL,0
183,McamRImage_0413739673-00000-1,15865,0,-95
226,McamRRecoveredProduct_0417566025-23385-1,15865,NULL,0
226,McamRRecoveredProduct_0417566025-23385-2,15865,NULL,0
183,McamRImage_0413739708-00000-1,15866,1,-85
226,McamRRecoveredProduct_0417566025-29580-1,15866,NULL,0
226,McamRRecoveredProduct_0417566025-29580-2,15866,NULL,0
183,McamRImage_0413739719-00000-1,15867,2,-85
226,McamRRecoveredProduct_0417566025-40792-1,15867,NULL,0
226,McamRRecoveredProduct_0417566025-40792-2,15867,NULL,0
183,McamRImage_0413739731-00000-1,15868,3,-95
226,McamRRecoveredProduct_0417566025-47635-1,15868,NULL,0
226,McamRRecoveredProduct_0417566025-47635-2,15868,NULL,0
183,McamRImage_0413739742-00000-1,15869,4,-95
226,McamRRecoveredProduct_0417566025-54640-1,15869,NULL,0
226,McamRRecoveredProduct_0417566025-54640-2,15869,NULL,0
183,McamRImage_0413739753-00000-1,15870,5,-95
226,McamRRecoveredProduct_0417566025-63070-1,15870,NULL,0
226,McamRRecoveredProduct_0417566025-63070-2,15870,NULL,0
183,McamRImage_0413739764-00000-1,15871,6,-95
226,McamRRecoveredProduct_0417566026-05509-1,15871,NULL,0
226,McamRRecoveredProduct_0417566026-05509-2,15871,NULL,0
185,McamRImage_0413914920-00000-1,15986,5,-85
318,McamRRecoveredProduct_0425717458-30705-1,15986,NULL,0
185,McamRImage_0413914942-00000-1,15987,6,-85
318,McamRRecoveredProduct_0425717461-62403-1,15987,NULL,0
185,McamRImage_0413915004-00000-1,15989,5,-85
318,McamRRecoveredProduct_0425717468-38504-1,15989,NULL,0
185,McamRImage_0413915026-00000-1,15990,6,-85
318,McamRRecoveredProduct_0425717471-54204-1,15990,NULL,0
185,McamRImage_0413915089-00000-1,15992,5,-85
318,McamRRecoveredProduct_0425717478-37862-1,15992,NULL,0
185,McamRImage_0413915109-00000-1,15993,6,-85
318,McamRRecoveredProduct_0425717481-60361-1,15993,NULL,0
185,McamRImage_0413915172-00000-1,15995,5,-85
318,McamRRecoveredProduct_0425717488-51592-1,15995,NULL,0
318,McamRRecoveredProduct_0425717488-51592-2,15995,NULL,0
185,McamRImage_0413915191-00000-1,15996,6,-85
318,McamRRecoveredProduct_0425717492-12137-1,15996,NULL,0
318,McamRRecoveredProduct_0425717492-12137-2,15996,NULL,0
185,McamRImage_0413915253-00000-1,15998,5,-85
318,McamRRecoveredProduct_0425717498-57227-1,15998,NULL,0
318,McamRRecoveredProduct_0425717498-57227-2,15998,NULL,0
185,McamRImage_0413915272-00000-1,15999,6,-85
318,McamRRecoveredProduct_0425717502-12885-1,15999,NULL,0
318,McamRRecoveredProduct_0425717502-12885-2,15999,NULL,0
185,McamRImage_0413915334-00000-1,16001,5,-85
318,McamRRecoveredProduct_0425717509-07992-1,16001,NULL,0
318,McamRRecoveredProduct_0425717509-07992-2,16001,NULL,0
185,McamRImage_0413915354-00000-1,16002,6,-85
318,McamRRecoveredProduct_0425717512-26977-1,16002,NULL,0
318,McamRRecoveredProduct_0425717512-26977-2,16002,NULL,0
185,McamRImage_0413915419-00000-1,16004,5,-85
318,McamRRecoveredProduct_0425717519-03058-1,16004,NULL,0
318,McamRRecoveredProduct_0425717519-03058-2,16004,NULL,0
185,McamRImage_0413915438-00000-1,16005,6,-85
318,McamRRecoveredProduct_0425717522-21169-1,16005,NULL,0
318,McamRRecoveredProduct_0425717522-21169-2,16005,NULL,0
185,McamRImage_0413915497-00000-1,16007,5,-85
318,McamRRecoveredProduct_0425717528-62144-1,16007,NULL,0
318,McamRRecoveredProduct_0425717528-62144-2,16007,NULL,0
185,McamRImage_0413915516-00000-1,16008,6,-85
318,McamRRecoveredProduct_0425717532-13037-1,16008,NULL,0
318,McamRRecoveredProduct_0425717532-13037-2,16008,NULL,0
185,McamRImage_0413915575-00000-1,16010,5,-85
318,McamRRecoveredProduct_0425717538-55869-1,16010,NULL,0
318,McamRRecoveredProduct_0425717538-55869-2,16010,NULL,0
185,McamRImage_0413915595-00000-1,16011,6,-85
318,McamRRecoveredProduct_0425717542-08066-1,16011,NULL,0
318,McamRRecoveredProduct_0425717542-08066-2,16011,NULL,0
